material_id,display_name,category,source_section,source_description,thickness_mm,density_kg_m3,installation_or_backing,alpha_125_hz,alpha_250_hz,alpha_500_hz,alpha_1000_hz,alpha_2000_hz,alpha_4000_hz,roomtune_priority,user_facing_description,assumption_note,source_page,source_document,source_site
drywall_standard,Drywall,wall,Studwork and Lightweight Walls,"Plasterboard on frame, 100mm airspace",,,Mounted on frame with 100 mm airspace,0.3,0.12,0.08,0.06,0.06,0.05,Core preset,Representative framed drywall/plasterboard wall.,Use as the simple Drywall preset; actual drywall absorption varies with wall construction and cavity treatment.,1,web_absorption_data_eng.pdf,www.akustik.ua
painted_plaster,Painted Plaster,wall,Masonry Walls,Painted plaster surface on masonry wall,,,Painted plaster on masonry wall,0.02,0.02,0.02,0.02,0.02,0.02,Core preset,Hard painted plaster wall surface with very low absorption.,,1,web_absorption_data_eng.pdf,www.akustik.ua
concrete_smooth_painted,Concrete,wall,Masonry Walls,"Smooth concrete, painted or glazed",,,Smooth painted or glazed concrete,0.01,0.01,0.01,0.02,0.02,0.02,Core preset,Smooth finished concrete; highly reflective across the listed bands.,Used as the default simple Concrete preset.,1,web_absorption_data_eng.pdf,www.akustik.ua
concrete_rough,Rough Concrete,wall,Masonry Walls,Rough concrete,,,Rough concrete surface,0.02,0.03,0.03,0.03,0.04,0.07,Core preset,Rough concrete surface with slightly more high-frequency absorption than smooth concrete.,,1,web_absorption_data_eng.pdf,www.akustik.ua
brick_standard,Brick,wall,Masonry Walls,Standard brickwork,,,Standard brickwork,0.05,0.04,0.02,0.04,0.05,0.05,Core preset,Representative exposed standard brick wall.,Painted and specially pointed brickwork have different values in the source.,1,web_absorption_data_eng.pdf,www.akustik.ua
ceramic_tile_smooth,Ceramic Tile,wall,Masonry Walls,Ceramic tiles with smooth surface,,,Smooth ceramic tile surface,0.01,0.01,0.01,0.02,0.02,0.02,Core preset,Smooth hard tile surface; highly reflective.,,1,web_absorption_data_eng.pdf,www.akustik.ua
wood_paneling,Wood Paneling,wall,Wood and Wood Panelling,Wood boards on on joists or battens,,,Wood boards mounted on joists or battens,0.15,0.2,0.1,0.1,0.1,0.1,Core preset,General-purpose wood wall paneling preset.,The source contains many wood assemblies; this is a practical representative preset rather than a universal wood value.,3,web_absorption_data_eng.pdf,www.akustik.ua
glass_single_6mm,Glass,window,Glass and Glazing,6mm glass,6,,Single 6 mm glass pane,0.1,0.06,0.04,0.03,0.02,0.02,Core preset,Representative single-pane glass window.,Used as the default simple Glass preset; the source also provides a separate 4 mm glass entry.,2,web_absorption_data_eng.pdf,www.akustik.ua
glass_double,Double-Glazed Glass,window,Glass and Glazing,"Double glazing, 2-3mm glass, 10mm air gap",2-3 mm panes,,Double glazing with 10 mm air gap,0.15,0.05,0.03,0.03,0.02,0.02,Core preset,Representative double-glazed window.,Exact source construction uses 2-3 mm panes and a 10 mm air gap.,2,web_absorption_data_eng.pdf,www.akustik.ua
curtain_light,Light Curtain,treatment,Wall Treatments & Constructions,Lightweight curtains (0.2 kg/m2) hung 90mm from wall,,,0.2 kg/m² lightweight curtain hung 90 mm from wall,0.05,0.06,0.39,0.63,0.7,0.73,Core preset,Light curtain treatment with stronger absorption at mid and high frequencies.,"Performance depends strongly on fabric, folds, and distance from the wall.",5,web_absorption_data_eng.pdf,www.akustik.ua
curtain_heavy_velour,Heavy Curtain,treatment,Wall Treatments & Constructions,"Curtains, medium velour, 50% gather, over soild backing",,,"Medium velour curtain, 50% gather, over solid backing",0.05,0.25,0.4,0.5,0.6,0.5,Core preset,Heavier gathered curtain treatment.,Source wording contains the typo 'soild'; installation details are preserved in normalized form.,5,web_absorption_data_eng.pdf,www.akustik.ua
acoustic_foam_25mm,Acoustic Foam - 25 mm,treatment,Mineral Wool and Foams,Melamine based foam 25mm,25,,25 mm melamine-based foam,0.09,0.22,0.54,0.76,0.88,0.93,Core preset,Thin acoustic foam treatment; strongest absorption is in the mid/high bands.,Friendly name generalizes the source's melamine-based foam.,3,web_absorption_data_eng.pdf,www.akustik.ua
acoustic_foam_50mm,Acoustic Foam - 50 mm,treatment,Mineral Wool and Foams,Melamine based foam 50mm,50,,50 mm melamine-based foam,0.18,0.56,0.96,1.0,1.0,1.0,Core preset,Thicker acoustic foam with very high mid/high-frequency absorption in the source data.,Friendly name generalizes the source's melamine-based foam.,3,web_absorption_data_eng.pdf,www.akustik.ua
fiberglass_panel_50mm,Fiberglass Acoustic Panel - 50 mm,treatment,Mineral Wool and Foams,"Glass wool 50mm, 24 kg/m3",50,24,"50 mm glass wool, density 24 kg/m³",0.27,0.54,0.94,1.0,0.96,0.96,Core preset,Representative 50 mm fiberglass/glass-wool absorber.,Used as a practical generic fiberglass-panel preset; density and mounting affect real performance.,3,web_absorption_data_eng.pdf,www.akustik.ua
rockwool_panel_50mm,Rockwool Acoustic Panel - 50 mm,treatment,Mineral Wool and Foams,"Rock wool 50mm, 60 kg/m3 direct to masonry",50,60,"50 mm rock wool, density 60 kg/m³, directly on masonry",0.11,0.6,0.96,0.94,0.92,0.82,Core preset,Representative 50 mm rockwool absorber mounted directly to masonry.,Mounting is part of the measured/source condition and should not be treated as a universal rockwool value.,4,web_absorption_data_eng.pdf,www.akustik.ua
acoustic_timber_panel,Acoustic Timber Panel,treatment,Wood and Wood Panelling,Acoustic timber wall panelling,,,Acoustic timber wall panelling,0.18,0.34,0.42,0.59,0.83,0.68,Core preset,Purpose-built acoustic timber wall paneling.,,3,web_absorption_data_eng.pdf,www.akustik.ua
wood_floor,Wood Floor,floor,Floors,Wooden floor on joists,,,Wooden floor supported on joists,0.15,0.11,0.1,0.07,0.06,0.07,Later surface type,Representative hard wooden floor.,Intended for floor/ceiling reflection support once RoomTune models those paths.,6,web_absorption_data_eng.pdf,www.akustik.ua
vinyl_linoleum_floor,Vinyl / Linoleum,floor,Floors,Linoleum or vinyl stuck to concrete,,,Linoleum or vinyl adhered to concrete,0.02,0.02,0.03,0.04,0.04,0.05,Later surface type,Hard vinyl or linoleum floor on concrete.,Intended for floor/ceiling reflection support once RoomTune models those paths.,6,web_absorption_data_eng.pdf,www.akustik.ua
carpet_thin,Thin Carpet,floor,Floors,"Carpet, thin, over thin felt on concrete",,,Thin carpet over thin felt on concrete,0.1,0.15,0.25,0.3,0.3,0.3,Later surface type,Thin carpet with felt backing on a concrete floor.,Intended for floor/ceiling reflection support once RoomTune models those paths.,6,web_absorption_data_eng.pdf,www.akustik.ua
carpet_standard_9mm,Carpet,floor,Floors,"9mm pile carpet, tufted on felt underlay",9,,"9 mm pile carpet, tufted on felt underlay",0.08,0.08,0.3,0.6,0.75,0.8,Later surface type,Representative carpet preset with felt underlay.,Used as the simple default Carpet preset.,6,web_absorption_data_eng.pdf,www.akustik.ua
carpet_thick_15mm,Thick Carpet,floor,Floors,Thick pile carpet on sponge rubber underlay,15,,15 mm thick pile carpet on sponge rubber underlay,0.15,0.25,0.5,0.6,0.7,0.7,Later surface type,Thicker carpet and underlay with stronger broadband absorption than hard flooring.,Intended for floor/ceiling reflection support once RoomTune models those paths.,6,web_absorption_data_eng.pdf,www.akustik.ua
stone_marble_floor,Stone / Marble,floor,Floors,Smooth marble or terrazzo slabs,,,Smooth marble or terrazzo slab surface,0.01,0.01,0.01,0.01,0.02,0.02,Later surface type,Very hard smooth stone-like floor surface with very low absorption.,Friendly label groups the source's smooth marble/terrazzo entry.,6,web_absorption_data_eng.pdf,www.akustik.ua
door_hollowcore_wood,Hollow-Core Wood Door,door,Panels and Doors,Wood hollowcore door,,,Hollow-core wood door,0.3,0.25,0.15,0.1,0.1,0.07,Later surface type,Typical hollow-core wooden interior door.,Add when doors become distinct room surfaces/objects.,7,web_absorption_data_eng.pdf,www.akustik.ua
door_solid_timber,Solid Wood Door,door,Panels and Doors,Solid timber door,,,Solid timber door,0.14,0.1,0.06,0.08,0.1,0.1,Later surface type,Typical solid timber door.,Add when doors become distinct room surfaces/objects.,7,web_absorption_data_eng.pdf,www.akustik.ua
ceiling_mineral_wool_tile,Mineral Wool Ceiling Tile,ceiling,Ceilings,"Mineral wool tiles, 180mm airspace",,,Mineral wool ceiling tiles with 180 mm airspace,0.42,0.72,0.83,0.88,0.89,0.8,Later surface type,Absorptive suspended mineral-wool ceiling tile system.,Use once RoomTune models ceiling reflections; the 180 mm airspace is part of the source condition.,7,web_absorption_data_eng.pdf,www.akustik.ua
"Alpha = 0 (full reflectivity), Alpha = 1 (full absorption)"
